format=liber-dynamic-executable-report-v2
wave	target	tool	undefined_imports	declared_providers	dt_needed	transitive_providers	pie_bytes	provider_bytes	private_bytes	shared_bytes	test_command
1	x86_64-unknown-none	dmesg	inherit_stdout,liber_rt_start,print,_RNvCshfEkAwg4zv6_7___rustc14___rust_dealloc,_RNvCshfEkAwg4zv6_7___rustc19___rust_alloc_zeroed,_RNvCshfEkAwg4zv6_7___rustc35___rust_no_alloc_shim_is_unstable_v2,_RNvNtCs6QlLAEqWAor_5alloc7raw_vec12handle_error,_RNvNtNtCscxNVyFYGLI2_4core5slice5index16slice_index_fail	lsrt.lslib	lsrt.lslib	lsrt.lslib	4656	413240	24576	327680	just test-tags service,process,storage
1	x86_64-unknown-none	echo	inherit_stdout,liber_rt_start,print,_RNvNtNtCscxNVyFYGLI2_4core5slice5index16slice_index_fail	lsrt.lslib	lsrt.lslib	lsrt.lslib	3576	413240	24576	327680	just test-tags service,process,storage
1	x86_64-unknown-none	free	inherit_stdout,liber_rt_start,memcpy,print,_RNvCshfEkAwg4zv6_7___rustc12___rust_alloc,_RNvCshfEkAwg4zv6_7___rustc14___rust_dealloc,_RNvCshfEkAwg4zv6_7___rustc14___rust_realloc,_RNvCshfEkAwg4zv6_7___rustc35___rust_no_alloc_shim_is_unstable_v2,_RNvNtCs6QlLAEqWAor_5alloc7raw_vec12handle_error,_RNvNtNtCscxNVyFYGLI2_4core5slice5index16slice_index_fail	lsrt.lslib	lsrt.lslib	lsrt.lslib	7864	413240	24576	331776	just test-tags service,process,storage
1	x86_64-unknown-none	lscpu	inherit_stdout,liber_rt_start,memcpy,print,_RNvCshfEkAwg4zv6_7___rustc12___rust_alloc,_RNvCshfEkAwg4zv6_7___rustc14___rust_dealloc,_RNvCshfEkAwg4zv6_7___rustc14___rust_realloc,_RNvCshfEkAwg4zv6_7___rustc35___rust_no_alloc_shim_is_unstable_v2,_RNvMs3_Cs41Fzs9RSIDC_4wireNtB5_8JsonMode6render,_RNvNtCs6QlLAEqWAor_5alloc7raw_vec12handle_error,_RNvNtNtCscxNVyFYGLI2_4core3str8converts9from_utf8,_RNvNtNtCscxNVyFYGLI2_4core5slice5index16slice_index_fail	lsrt.lslib,wire.lslib	lsrt.lslib,wire.lslib	lsrt.lslib,wire.lslib	9352	429592	28672	348160	just test-tags service,process,storage
1	x86_64-unknown-none	lsirq	inherit_stdout,liber_rt_start,memcpy,print,_RNvCshfEkAwg4zv6_7___rustc12___rust_alloc,_RNvCshfEkAwg4zv6_7___rustc14___rust_dealloc,_RNvCshfEkAwg4zv6_7___rustc14___rust_realloc,_RNvCshfEkAwg4zv6_7___rustc35___rust_no_alloc_shim_is_unstable_v2,_RNvMs3_Cs41Fzs9RSIDC_4wireNtB5_8JsonMode6render,_RNvNtCs6QlLAEqWAor_5alloc7raw_vec12handle_error,_RNvNtNtCscxNVyFYGLI2_4core5slice5index16slice_index_fail	lsrt.lslib,wire.lslib	lsrt.lslib,wire.lslib	lsrt.lslib,wire.lslib	10312	429592	28672	348160	just test-tags service,process,storage
1	x86_64-unknown-none	lsmem	inherit_stdout,liber_rt_start,memcpy,print,_RNvCshfEkAwg4zv6_7___rustc12___rust_alloc,_RNvCshfEkAwg4zv6_7___rustc14___rust_dealloc,_RNvCshfEkAwg4zv6_7___rustc14___rust_realloc,_RNvCshfEkAwg4zv6_7___rustc35___rust_no_alloc_shim_is_unstable_v2,_RNvMs3_Cs41Fzs9RSIDC_4wireNtB5_8JsonMode6render,_RNvNtCs6QlLAEqWAor_5alloc7raw_vec12handle_error,_RNvNtNtCscxNVyFYGLI2_4core5slice5index16slice_index_fail	lsrt.lslib,wire.lslib	lsrt.lslib,wire.lslib	lsrt.lslib,wire.lslib	9560	429592	28672	348160	just test-tags service,process,storage
1	x86_64-unknown-none	lspci	inherit_stdout,liber_rt_start,memcpy,print,_RNvCshfEkAwg4zv6_7___rustc12___rust_alloc,_RNvCshfEkAwg4zv6_7___rustc14___rust_dealloc,_RNvCshfEkAwg4zv6_7___rustc14___rust_realloc,_RNvCshfEkAwg4zv6_7___rustc35___rust_no_alloc_shim_is_unstable_v2,_RNvMs3_Cs41Fzs9RSIDC_4wireNtB5_8JsonMode6render,_RNvNtCs6QlLAEqWAor_5alloc7raw_vec12handle_error,_RNvNtNtCscxNVyFYGLI2_4core5slice5index16slice_index_fail	lsrt.lslib,wire.lslib	lsrt.lslib,wire.lslib	lsrt.lslib,wire.lslib	9864	429592	28672	348160	just test-tags service,process,storage
1	x86_64-unknown-none	ptyecho	liber_rt_start,memcpy,_RNvCsicxbWhnW8DI_2rt11recv_tagged	lsrt.lslib	lsrt.lslib	lsrt.lslib	3632	413240	24576	327680	just test-tags service,process,storage
1	x86_64-unknown-none	readln	inherit_stdout,liber_rt_start,print,_RNvCshfEkAwg4zv6_7___rustc19___rust_alloc_zeroed,_RNvCshfEkAwg4zv6_7___rustc35___rust_no_alloc_shim_is_unstable_v2,_RNvCsicxbWhnW8DI_2rt9read_line,_RNvNtCs6QlLAEqWAor_5alloc7raw_vec12handle_error,_RNvNtNtCscxNVyFYGLI2_4core5slice5index16slice_index_fail	lsrt.lslib	lsrt.lslib	lsrt.lslib	4320	413240	24576	327680	just test-tags service,process,storage
1	x86_64-unknown-none	script	inherit_stdout,liber_rt_start,memset,print,_RNvNtNtCscxNVyFYGLI2_4core5slice5index16slice_index_fail	lsrt.lslib	lsrt.lslib	lsrt.lslib	4472	413240	24576	327680	just test-tags service,process,storage
1	x86_64-unknown-none	uname	inherit_stdout,liber_rt_start,print	lsrt.lslib	lsrt.lslib	lsrt.lslib	3176	413240	24576	327680	just test-tags service,process,storage
1	x86_64-unknown-none	uptime	inherit_stdout,liber_rt_start,memcpy,print	lsrt.lslib	lsrt.lslib	lsrt.lslib	4176	413240	24576	327680	just test-tags service,process,storage
2	x86_64-unknown-none	cat	inherit_stdout,liber_channel_liber_storage_volume_open,liber_rt_start,memcpy,print,_RNvCshfEkAwg4zv6_7___rustc12___rust_alloc,_RNvCshfEkAwg4zv6_7___rustc14___rust_dealloc,_RNvCshfEkAwg4zv6_7___rustc35___rust_no_alloc_shim_is_unstable_v2,_RNvCsicxbWhnW8DI_2rt11recv_tagged,_RNvMNtCs6QlLAEqWAor_5alloc6stringNtB2_6String15from_utf8_lossy,_RNvNtCs6QlLAEqWAor_5alloc7raw_vec12handle_error,_RNvNtCseGLwkXNVT33_5proto4path13volume_client,_RNvNtCseGLwkXNVT33_5proto4path7resolve,_RNvNtNtCscxNVyFYGLI2_4core3str8converts9from_utf8,_RNvNtNtCscxNVyFYGLI2_4core5slice5index16slice_index_fail	lsrt.lslib,proto.lslib,volume-client.lslib	lsrt.lslib,proto.lslib,volume-client.lslib	lsrt.lslib,ipc-client.lslib,wire.lslib,proto.lslib,volume-client.lslib	6920	807896	49152	671744	just test-tags service,process,storage
